Category,Capability,CCHIT Capability Identifier
,,
Patient Selection,Patient Access Warnings / Flags,"IP 01.03, AM 36.05"
Patient Selection,- Warn of restricted/sensitive record & log access,
Patient Selection,"- Suppress SSN, DOB for sensitive patients",
Patient Selection,- Display currently active patient flags,
Patient Selection,"- Display warnings - deceased, eligibility",
Patient Selection,View Selection Lists,AM 28.01
Patient Selection,- Provider / Specialty / Ward selection lists,
Patient Selection,- Clinic Appointment list,
Patient Selection,- Personal / Team lists filtered by user,
Patient Selection,Create Custom Selection Lists,
Patient Selection,"Search by multiple identifiers (SSN, X9999, 9999)",FN 02.01
Patient Selection,Build personal/team patient lists and set default patient selection sources,
Demographics,Show current room/bed assignment or visit,IP 01.01
Demographics,"Name, ID#, DOB, Age visible overall","IP 08.01, FN 01.01"
Demographics,Demographic Details,"IP 1.01.01, AM 02.02.01"
Demographics,"- Insurance, language, race, ethnicity",
Demographics,"- Service connection (SC), SC%, and disabilities",
Demographics,"- Address, Next of Kin, etc.",
Demographics,Print Demographics,
Flags/Postings,"Display special indicators (CWAD, Flags)",AM 16.01
Flags/Postings,Display patient flag details,
Flags/Postings,Details for crisis notes / warning notes / advanced directives,"AM 15.04, AM 16.02"
Patient Record Summary (Cover Sheet),"Active problems, current meds, allergies",AM 07.01
Patient Record Summary (Cover Sheet),"Appointments, visits, and admissions",
Patient Record Summary (Cover Sheet),Postings / reminders,
Patient Record Summary (Cover Sheet),Observations: recent labs and vitals,
Patient Record Summary (Cover Sheet),Display summary details & print,
Care Team,Show care team assignments,
Care Team,Show admitting physician,IP 02.04
Care Team,Identify clinician and location for provision of current care,IP 02.01
Care Team,- Appointment View,
Care Team,- Admissions View,
Care Team,- New Visit View,
Allergies / Adverse Reactions,Show list of allergies,"FN 05.12, FN 05.13"
Allergies / Adverse Reactions,Search for causitive agent,FN 05.10
Allergies / Adverse Reactions,"Enter new allergy (reaction, signs, date, ...)","IP 05.02, IP 05.10, IP 05.11, FN 05.04, FN 05.05"
Allergies / Adverse Reactions,"Update allergy fields (symptoms, severity, ...)",FN 05.05
Allergies / Adverse Reactions,Remove an allergy entered in error,"FN 05.01, FN 05.02"
Allergies / Adverse Reactions,Print the allergy list,IP 05.09
Allergies / Adverse Reactions,Capture no known allergies,FN 05.09
Allergies / Adverse Reactions,Allergy list available from all views,IP 08.04
Clinical Observations,"Ability to record vital signs, display BMI","IP 20.01, IP 20.02, AM 08.13, AM 08.14"
Clinical Observations,"- Enter qualifiers (location, method, position, cuff, ...)",
Clinical Observations,- Indicate vital sign outside of expected range,AM 08.15
Clinical Observations,"- Handle patients on pass, unavailable, refused, ...",
Clinical Observations,- Mark observation as entered in error,
Clinical Observations,"Graph observations over time (time scale, zoom, value display)",AM 08.24
Problem List,Views based on status of the problem,"FN 04.06, FN 04.02"
Problem List,"Views based on filters (clinic, provider, patient status)",
Problem List,Ability to set default view,
Problem List,Show history of problem,IP 04.02
Problem List,Enter a new problem,"IP 04.03, IP 04.09.01, IP 04.05, AM 03.09.01"
Problem List,"Manage onset, resolution, chronicity of problem","AM 03.03, AM 03.04, AM 03.05"
Problem List,Customized pick list for common problems by context,
Problem List,Removal / Inactivation of a problem,IP 04.06
Problem List,Add comments to a problem,FN 04.01
Problem List,Print the problem list,FN 04.04
Medications,"Show med list (order, start/stop, status)","IP 06.02, AM 04.06"
Medications,Show non-VA medications,"IP 06.03, FN 06.06"
Medications,"Add medication orders, prescriptions","IP 06.04, AM 04.02, AM 04.07"
Medications,Update medication order,"FN 06.01, IP 06.08"
Medications,Renew medication order,
Medications,Request refill of medication,
Medications,Hold medication,
Medications,"Sort med list (IMO, status, location, alphabetic, ...)",IP 06.11
Medications,Print medication list,"FN 06.02, FN 06.04"
Medications,Show medication details / history / administrations,AM 04.05
Medications,Transfer outpatient medication to inpatient medication (admit),
Medications,Transfer inpatient medication to outpatient medication (discharge),
